reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
46;Московская область;;мкр. Авиационный-Лямцино-ММК;Региональная или межмуниципальная дорога общего пользования;;ЦФО, Московская область, Городской округ Домодедово;Опрокидывание;20181231;23:55:00;Другие нарушения ПДД водителями;1;0;1;12;55.359795;37.906179
53;Оренбургская область;53К-2118000;Обход г. Оренбурга;Региональная или межмуниципальная дорога общего пользования;53701000;ПФО, Оренбургская область, Оренбург;Наезд на препятствие;20181231;23:55:00;Другие нарушения ПДД водителями;1;0;1;2;51.785876;55.186837
46;Московская область;А-107;"""Московское малое кольцо"" Икша - Ногинск - Бронницы - Голицыно - Истра - Икша";Федеральная дорога общего пользования;46608000;ЦФО, Московская область, Дмитровский район;Опрокидывание;20181231;23:40:00;Превышение установленной скорости движения;1;0;1;2;56.137324;37.458766
8;Хабаровский край;А-375;"""Восток"" Хабаровск - Красный Яр - Ариадное - Чугуевка - Находка";Федеральная дорога общего пользования;8655000;ДФО, Хабаровский край, Хабаровский район;Наезд на пешехода;20181231;23:20:00;Нахождение на проезжей части без цели её перехода, Другие нарушения ПДД водителями;0;1;1;2;48.467142;135.439112
35;Республика Крым;35Н-076;Симферополь - Севастополь - Бахчисарай;Региональная или межмуниципальная дорога общего пользования;;ЮФО, Республика Крым, Бахчисарайский район;Наезд на пешехода;20181231;23:00:00;Нарушение правил проезда пешеходного перехода;1;0;1;2;44.744066;33.846538
26;Республика Ингушетия;Р-217;"""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)";Федеральная дорога общего пользования;;СКФО, Республика Ингушетия, Назрановский;Столкновение;20181231;21:50:00;Выезд на полосу встречного движения;1;0;5;5;43.275682;44.858766
1;Алтайский край;;Вторая Каменка - Гилево;Региональная или межмуниципальная дорога общего пользования;1625417101;СФО, Алтайский край, Локтевский район, Гилевский, с Гилево;Наезд на пешехода;20181231;21:40:00;Несоответствие скорости конкретным условиям движения;1;0;1;2;51.10266;81.81922
80;Республика Башкортостан;М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа (основное направление)";Федеральная дорога общего пользования;80640000;ПФО, Республика Башкортостан, Кушнаренковский район;Столкновение;20181231;21:40:00;Нарушение правил обгона;2;0;2;3;55.1391;55.166903
56;Пензенская область;;"""Автодорога """"р.п. Беково - с. Варварино - р.п. Тамала""""""";Региональная или межмуниципальная дорога общего пользования;56609402101;ПФО, Пензенская область, Бековский район, Вертуновский, с Вертуновка;Наезд на пешехода;20181231;21:20:00;Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка), Другие нарушения ПДД водителями;1;0;1;2;52.439256;43.586283
35;Республика Крым;35К-023;Восточный обход г. Симферополя;Региональная или межмуниципальная дорога общего пользования;;ЮФО, Республика Крым, Симферополь;Наезд на пешехода;20181231;21:10:00;Другие нарушения ПДД водителями, Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода;1;0;1;2;44.985996;34.127258
